pid,title,price_ngn,price_raw,bedrooms,bathrooms,prop_type,location,area,lga,state,agent,features,date_added,url
5PDQQ,4 Bedroom Detached Duplex With Bq,1750000000.0,"₦ 1,750,000,000",4.0,5.0,House,Parkview Estate Ikoyi Lagos,Parkview Estate,Ikoyi,Lagos,Chrystal Abodes,Newly Built; Only on PropertyPro,17 Feb 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-parkview-estate-ikoyi-lagos-5PDQQ
6PUTF,3bed,300000000.0,"₦ 300,000,000",3.0,3.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-6PUTF
1PUTF,4bed,500000000.0,"₦ 500,000,000",4.0,4.0,Flat Apartment,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-1PUTF
5PUTD,Newly Built 5bedroom Fully Detached Duplex,480000000.0,"₦ 480,000,000",5.0,5.0,House,Ikate Ikate Lekki Lagos,Ikate Ikate,Lekki,Lagos,New adventures,Survey; Church Nearby; Parking Space,29 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-ikate-lekki-lagos-5PUTD
2NMRX,5 Bedroom Detached House,2250000000.0,"₦ 2,250,000,000",5.0,5.0,House,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,08 Sep 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-old-ikoyi-ikoyi-lagos-2NMRX
0NVLX,Premium 3 Bedroom Apartment + Bq,700000000.0,"₦ 700,000,000",3.0,3.0,Flat Apartment,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,24 Nov 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-old-ikoyi-ikoyi-lagos-0NVLX
8PUSZ,3bed,300000000.0,"₦ 300,000,000",3.0,3.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8PUSZ
4PUSY,Distress 2bedroom Terrace Duplex Good Security,60000000.0,"₦ 60,000,000",2.0,2.0,House,Sangotedo Sangotedo Ajah Lagos,Sangotedo Sangotedo,Ajah,Lagos,New adventures,Mosques Nearby; Parking Space; Governor's Consent,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-sangotedo-sangotedo-ajah-lagos-4PUSY
7PUSY,2bed,500000000.0,"₦ 500,000,000",2.0,2.0,House,Victoria Island Lagos,Victoria,Island,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-victoria-island-lagos-7PUSY
1PUSZ,3bed,700000000.0,"₦ 700,000,000",3.0,3.0,House,Victoria Island Lagos,Victoria,Island,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-victoria-island-lagos-1PUSZ
9PTAF,Luxury 3 Bedroom Shortlet Apartment In Surulere,200000.0,"₦ 200,000",3.0,3.0,Flat / Apartment FOR SHORTLET,Olaogun Drive Adelabu Surulere Lagos,Olaogun Drive Adelabu,Surulere,Lagos,Jeffreys Apartments,Furnished; Serviced; Only on PropertyPro,15 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-olaogun-drive-adelabu-surulere-lagos-9PTAF
1PAES,5 Bedroom Fully Detached Duplex,250000000.0,"₦ 250,000,000",5.0,5.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Perfect Images,,18 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-1PAES
8PAES,5 Bedroom Detached Duplex,650000000.0,"₦ 650,000,000",5.0,5.0,House,Orchid Lekki Lagos,Orchid,Lekki,Lagos,Perfect Images,,18 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-8PAES
3PPKF,Newly Built 2 Bedroom Apartment,250000000.0,"₦ 250,000,000",2.0,3.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,Perfect Images,Fast Internet; Security Doors; Big Compound,14 May 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-3PPKF
0PTJP,Newly Built 5 Bedroom Duplex,470000000.0,"₦ 470,000,000",5.0,6.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Perfect Images,Swimming Pool; 24 Hours Electricity; Street Lights,17 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-0PTJP
1PTJQ,Beautiful 3 Bedroom Semi Detached Terrace Duplex,120000000.0,"₦ 120,000,000",3.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Free Coffee; Supermarket Nearby; Front Desk Service,17 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajah-lekki-lagos-1PTJQ
7PTLT,Spacious 3 Bedroom Terrace Duplex,125000000.0,"₦ 125,000,000",3.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Boys Quater; Security Doors; Drainage System,18 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajah-lekki-lagos-7PTLT
1PTLU,Well Built 4 Bedroom Fully Detached Duplex,190000000.0,"₦ 190,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Fast Internet; Parking Space; Security Doors,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-1PTLU
6PTLU,Well Built 4 Bedroom Semi Detached Duplex,155000000.0,"₦ 155,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-6PTLU
5PTLV,Contemporary 4 Bedroom Fully Detached Duplex,190000000.0,"₦ 190,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-5PTLV
9PTLV,Newly Built 4 Bedroom Fully Detached Duplex,190000000.0,"₦ 190,000,000",4.0,5.0,House,Lekki Lagos,Lekki,Lagos,Lagos,Perfect Images,,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-lagos-9PTLV
4PTLW,Spacious 4 Bedroom Fully Detached Duplex,190000000.0,"₦ 190,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Child Care; Parking Space; Fast Internet,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-4PTLW
6PQRE,Commercial Duplex,380000000.0,"₦ 380,000,000",,,Commercial Property,Directly On Orchid Road Lekki Lagos,Directly On Orchid Road,Lekki,Lagos,Oyewo Abiola,Only on PropertyPro,26 May 2026,https://www.propertypro.ng/property/commercial-property-for-sale-directly-on-orchid-road-lekki-lagos-6PQRE
4PTMB,Tasteful Finished 5 Bedroom Detached Duplex,750000000.0,"₦ 750,000,000",5.0,6.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Perfect Images,,19 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-4PTMB
5PTMB,Well Built 3bedroom Self Compound Terrace,120000000.0,"₦ 120,000,000",3.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,19 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajah-lekki-lagos-5PTMB
9PTMB,Spacious 4 Bedroom Detached Duplex,185000000.0,"₦ 185,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,19 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-9PTMB
8PTMB,Contemporary 5 Bedroom Detached Duplex,400000000.0,"₦ 400,000,000",5.0,6.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,19 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ajah-lekki-lagos-8PTMB
7PTMB,3 Bedroom Self Compound Terrace Duplex,120000000.0,"₦ 120,000,000",3.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,19 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajah-lekki-lagos-7PTMB
2PUSU,Newly Built 5bedroom Fully Detached Duplex,480000000.0,"₦ 480,000,000",5.0,5.0,House,Monastery Road Ologolo Lekki Lagos,Monastery Road Ologolo,Lekki,Lagos,New adventures,Security; 24 Hours Electricity; Boys Quater,29 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-monastery-road-ologolo-lekki-lagos-2PUSU
3PUSR,Luxurious 2bedroom Apartment Good Security,135000000.0,"₦ 135,000,000",2.0,2.0,House,Ologolo Lekki Lagos Ologolo Lekki Lagos,Ologolo Lekki Lagos Ologolo,Lekki,Lagos,New adventures,Parking Space; Fast Internet; Restaurants Nearby,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-ologolo-lekki-lagos-ologolo-lekki-lagos-3PUSR
1NVYT,Luxury Oceanfront 2 Bedroom Apartment/tennis/pool,500000000.0,"₦ 500,000,000",2.0,2.0,Flat Apartment,"Lekki Phase 1 Right Side, Lekki Phase 1 Lekki Lagos","Lekki Phase 1 Right Side, Lekki Phase 1",Lekki,Lagos,PRINCE ADEMOLA,,28 Nov 2025,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-right-side-lekki-phase-1-lekki-lagos-1NVYT
7NMAL,3 Bedroom Apartment With Bq,750000000.0,"₦ 750,000,000",3.0,3.0,Flat Apartment,Banana Island Ikoyi Lagos,Banana Island,Ikoyi,Lagos,PRINCE ADEMOLA,,02 Sep 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-banana-island-ikoyi-lagos-7NMAL
8NPKK,New 5 Bedroom Penthouse With 2 Bq,2500000000.0,"₦ 2,500,000,000",5.0,5.0,Flat Apartment,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,25 Sep 2025,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-sale-old-ikoyi-ikoyi-lagos-8NPKK
8NVRL,3 Bedroom Apartment+bq+pool+tennis,900000000.0,"₦ 900,000,000",3.0,3.0,Flat Apartment,Banana Island Estate Banana Island Ikoyi Lagos,Banana Island Estate Banana Island,Ikoyi,Lagos,PRINCE ADEMOLA,,25 Nov 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-banana-island-estate-banana-island-ikoyi-lagos-8NVRL
6NXEK,4 Bedroom Terrace House +bq+pool,1100000000.0,"₦ 1,100,000,000",4.0,4.0,House,Old Ikoyi Old Ikoyi Ikoyi Lagos,Old Ikoyi Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,11 Dec 2025,https://www.propertypro.ng/property/4-bedroom-house-for-sale-old-ikoyi-old-ikoyi-ikoyi-lagos-6NXEK
9NXQT,Luxury 3 Bedroom Apartment With Bq,600000000.0,"₦ 600,000,000",3.0,3.0,Flat Apartment,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,16 Dec 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-old-ikoyi-ikoyi-lagos-9NXQT
7PUKX,Block Of 4 Nos. 3 Bedroom Flat,260000000.0,"₦ 260,000,000",3.0,3.0,House,"Omole Phase 2 Extension,olowora Lagos Omole Phase 2 Ojodu Lagos","Omole Phase 2 Extension,olowora Lagos Omole Phase 2",Ojodu,Lagos,DFHL,,26 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-omole-phase-2-extensionolowora-lagos-omole-phase-2-ojodu-lagos-7PUKX
6PUMV,6 Nos Of 3 Bedroom Flat + Warehouse,400000000.0,"₦ 400,000,000",3.0,3.0,House,Off Anjorin Street Surulere Lagos,Off Anjorin Street,Surulere,Lagos,DFHL,,27 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-off-anjorin-street-surulere-lagos-6PUMV
4PUSG,2bed,300000000.0,"₦ 300,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4PUSG
0PUSG,5bed,300000000.0,"₦ 300,000,000",5.0,5.0,House,Sangotedo Ajah Lagos,Sangotedo,Ajah,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-sangotedo-ajah-lagos-0PUSG
1PTGM,2 Bedroom Apartment,300000000.0,"₦ 300,000,000",2.0,,Flat Apartment,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,Tugaris Realtor,,17 Jun 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-1PTGM
6PUKB,5 Bedroom Fully Detached Duplex With Bq Swimming Gym,330000000.0,"₦ 330,000,000",5.0,,House,Lekki Lagos,Lekki,Lagos,Lagos,Tugaris Realtor,,26 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-lagos-6PUKB
3PUKC,5 Bedroom Fully Detached Duplex With Bq Swimming Gym,480000000.0,"₦ 480,000,000",5.0,,House,Lekki Lagos,Lekki,Lagos,Lagos,Tugaris Realtor,,26 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-lagos-3PUKC
1PUKB,5 Bedroom Fully Detached Duplex With Bq Swimming Gym,450000000.0,"₦ 450,000,000",5.0,,House,Lekki Lagos,Lekki,Lagos,Lagos,Tugaris Realtor,,26 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-lagos-1PUKB
6PUSD,4bed,200000000.0,"₦ 200,000,000",4.0,4.0,House,Lekki Scheme 2 Ajah Lagos,Lekki Scheme 2,Ajah,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-scheme-2-ajah-lagos-6PUSD
6PRLY,4bed Terrace+bq,390000000.0,"₦ 390,000,000",4.0,5.0,House,Omole Phase 1 Ojodu Lagos,Omole Phase 1,Ojodu,Lagos,Dollyrealty,24 Hours Electricity; C Of O; Pop Ceiling,02 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-omole-phase-1-ojodu-lagos-6PRLY
5PMMD,3bed Apartment+bq..,650000000.0,"₦ 650,000,000",3.0,4.0,Flat Apartment,Shonibare Estate Maryland Lagos,Shonibare Estate,Maryland,Lagos,Dollyrealty,Drainage System; Jacuzzi; Boys Quater,28 Apr 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-shonibare-estate-maryland-lagos-5PMMD
5PUSB,1bed,130000000.0,"₦ 130,000,000",1.0,1.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/1-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5PUSB
2PUSB,5bed,450000000.0,"₦ 450,000,000",5.0,5.0,House,Vgc Lekki Lagos,Vgc,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-vgc-lekki-lagos-2PUSB
0PPZN,4bed Detached+bq,700000000.0,"₦ 700,000,000",4.0,5.0,House,Adeniyi Jones Ikeja Lagos,Adeniyi Jones,Ikeja,Lagos,Dollyrealty,Big Compound; Drainage System; 24 Hours Electricity,20 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-0PPZN
4PUSA,2bed,250000000.0,"₦ 250,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4PUSA
7PHRK,4 Units 2 &3 Bedroom Flats,110000000.0,"₦ 110,000,000",3.0,,House,Agara Estate Akala Express Ibadan Oyo,Agara Estate Akala Express,Ibadan,Oyo,Openkeys business,Furnished; Only on PropertyPro,24 Mar 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-agara-estate-akala-express-ibadan-oyo-7PHRK
7PTRA,Furnished 6bed+bq,1800000000.0,"₦ 1,800,000,000",6.0,7.0,House,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Gra Phase 2 Kosofe,Ikosi,Lagos,Dollyrealty,Security; Jacuzzi; 24 Hours Security,20 Jun 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-magodo-gra-phase-2-kosofe-ikosi-lagos-7PTRA
0PURZ,2bed,230000000.0,"₦ 230,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0PURZ
2NXHR,5bed Detached+bq..,1200000000.0,"₦ 1,200,000,000",5.0,6.0,House,Shonibare Estate Maryland Lagos,Shonibare Estate,Maryland,Lagos,Dollyrealty,Security Doors; Parking Space; All Room Ensuit,12 Dec 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-shonibare-estate-maryland-lagos-2NXHR
3NXKK,5bed Detached+bq..,4500000000.0,"₦ 4,500,000,000",5.0,6.0,House,Banana Island Ikoyi Lagos,Banana Island,Ikoyi,Lagos,Dollyrealty,Jacuzzi; 24 Hours Security; Elevator,14 Dec 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-banana-island-ikoyi-lagos-3NXKK
9NXKK,5bed Detached+2bq..,670000000.0,"₦ 670,000,000",7.0,8.0,House,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Gra Phase 2 Kosofe,Ikosi,Lagos,Dollyrealty,Water Treatment; 24 Hours Security; Big Compound,14 Dec 2025,https://www.propertypro.ng/property/7-bedroom-house-for-sale-magodo-gra-phase-2-kosofe-ikosi-lagos-9NXKK
3NYEK,6bed Detached+bq,5500000000.0,"₦ 5,500,000,000",6.0,7.0,House,Banana Island Ikoyi Lagos,Banana Island,Ikoyi,Lagos,Dollyrealty,Parking Space; Cctv Cameras; Drainage System,24 Dec 2025,https://www.propertypro.ng/property/6-bedroom-house-for-sale-banana-island-ikoyi-lagos-3NYEK
5NZLP,5bed Detached+bq,580000000.0,"₦ 580,000,000",5.0,6.0,House,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Gra Phase 2 Kosofe,Ikosi,Lagos,Dollyrealty,Pop Ceiling; All Room Ensuit; Parking Space,11 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-magodo-gra-phase-2-kosofe-ikosi-lagos-5NZLP
3NZPW,6bed Detached+bq..,6000000000.0,"₦ 6,000,000,000",6.0,7.0,House,Banana Island Ikoyi Lagos,Banana Island,Ikoyi,Lagos,Dollyrealty,Boys Quater; Street Lights; Big Compound,12 Jan 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-banana-island-ikoyi-lagos-3NZPW
2NZWD,5bed Detached+bq..,380000000.0,"₦ 380,000,000",5.0,6.0,House,Berger Ojodu Lagos,Berger,Ojodu,Lagos,Dollyrealty,24 Hours Security; Pop Ceiling; Jacuzzi,15 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-berger-ojodu-lagos-2NZWD
8PBGV,5bed Detached+bq.,4200000000.0,"₦ 4,200,000,000",5.0,6.0,House,Ikoyi Lagos,Ikoyi,Lagos,Lagos,Dollyrealty,Boys Quater; 24 Hours Electricity; Security,27 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-8PBGV
4PUSP,Luxurious 2bedroom Apartment In A Secured Estate,110000000.0,"₦ 110,000,000",2.0,2.0,House,Ologolo Ologolo Lekki Lagos,Ologolo Ologolo,Lekki,Lagos,New adventures,Serviced; Only on PropertyPro,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-ologolo-ologolo-lekki-lagos-4PUSP
9PBLK,5bed Semi Detached+bq..,950000000.0,"₦ 950,000,000",5.0,6.0,House,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,Dollyrealty,Pop Ceiling; Street Lights; Water Treatment,29 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-9PBLK
7PSSH,3bed Apartment+bq,280000000.0,"₦ 280,000,000",3.0,4.0,Flat Apartment,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,Dollyrealty,Boys Quater; Street Lights; Jacuzzi,13 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-7PSSH
3PSSG,Furnished 4bed Terrace+bq,700000000.0,"₦ 700,000,000",4.0,6.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,Dollyrealty,Jacuzzi; 24 Hours Electricity; C Of O,13 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-3PSSG
0PSSM,3bed Apartment/massionette..,220000000.0,"₦ 220,000,000",3.0,4.0,Flat Apartment,Yaba Lagos,Yaba,Lagos,Lagos,Dollyrealty,Pop Ceiling; Parking Space; Water Treatment,13 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-yaba-lagos-0PSSM
4PSSQ,2bed Apartment..,140000000.0,"₦ 140,000,000",2.0,3.0,Flat Apartment,"Ajao Est, Anthony Village Maryland Lagos","Ajao Est, Anthony Village",Maryland,Lagos,Dollyrealty,24 Hours Security; Security; Drainage System,13 Jun 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ajao-est-anthony-village-maryland-lagos-4PSSQ
8PSSQ,5bed Terraces+bq,1300000000.0,"₦ 1,300,000,000",5.0,6.0,House,Ikoyi Lagos,Ikoyi,Lagos,Lagos,Dollyrealty,Pop Ceiling; Swimming Pool; Big Compound,13 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-8PSSQ
6PSXV,4bed Terrace+bq,450000000.0,"₦ 450,000,000",4.0,5.0,House,Omole Phase 2 Ojodu Lagos,Omole Phase 2,Ojodu,Lagos,Dollyrealty,Security; Boys Quater; Pop Ceiling,15 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-omole-phase-2-ojodu-lagos-6PSXV
8PTLV,3bed Apartment,260000000.0,"₦ 260,000,000",3.0,4.0,Flat Apartment,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Gra Phase 2 Kosofe,Ikosi,Lagos,Dollyrealty,C Of O; All Room Ensuit; Drainage System,18 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-magodo-gra-phase-2-kosofe-ikosi-lagos-8PTLV
7PTQQ,4bed Detached+bq,450000000.0,"₦ 450,000,000",4.0,5.0,House,Millenuim Ups Gbagada Lagos,Millenuim Ups,Gbagada,Lagos,Dollyrealty,All Room Ensuit; Drainage System; Big Compound,20 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-millenuim-ups-gbagada-lagos-7PTQQ
1PDMH,Furnished 4bed+bq..,850000000.0,"₦ 850,000,000",4.0,5.0,House,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,Dollyrealty,Newly Built; Furnished; Serviced; Only on PropertyPro,17 Feb 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-1PDMH
1PTQV,5bed Detached+bq,750000000.0,"₦ 750,000,000",5.0,6.0,House,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Gra Phase 2 Kosofe,Ikosi,Lagos,Dollyrealty,Boys Quater; Pop Ceiling; Security,20 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-magodo-gra-phase-2-kosofe-ikosi-lagos-1PTQV
0PTQZ,4bed Semi Detached+bq,260000000.0,"₦ 260,000,000",4.0,5.0,House,Surulere Lagos,Surulere,Lagos,Lagos,Dollyrealty,Drainage System; 24 Hours Electricity; Boys Quater,20 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-surulere-lagos-0PTQZ
5PTSQ,5bed Detached+bq,3500000000.0,"₦ 3,500,000,000",5.0,6.0,House,Ikoyi Lagos,Ikoyi,Lagos,Lagos,Dollyrealty,C Of O; All Room Ensuit; Survey,21 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-5PTSQ
5PUMX,2&3bed Apartment..,170000000.0,"₦ 170,000,000",3.0,4.0,Flat Apartment,(yaba Tech Gra) Jibowu Yaba Lagos,(yaba Tech Gra) Jibowu,Yaba,Lagos,Dollyrealty,Security; Street Lights; Office Supplies,27 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-yaba-tech-gra-jibowu-yaba-lagos-5PUMX
9PRVK,4 Bedroom Duplex With A Bq In Magodo Phs1,470000000.0,"₦ 470,000,000",4.0,5.0,House,Magodo Gra Phase 1 Ojodu Lagos,Magodo Gra Phase 1,Ojodu,Lagos,Comfort Home,Cctv Cameras; 24 Hours Security; Drainage System,05 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-magodo-gra-phase-1-ojodu-lagos-9PRVK
8PRVR,"4 Bedroom Duplex With Bq In Alausa, Lkeja",400000000.0,"₦ 400,000,000",4.0,5.0,House,Alausa Ikeja Lagos,Alausa,Ikeja,Lagos,Comfort Home,Cctv Cameras; 24 Hours Security; Drainage System,05 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-alausa-ikeja-lagos-8PRVR
7PSFU,5 Bedroom Detached Duplex With A Room Bq,550000000.0,"₦ 550,000,000",5.0,6.0,House,Gwarinpa Abuja,Gwarinpa,Abuja,Abuja,Lighthouse Property,Big Compound; Parking Space; All Room Ensuit,09 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-gwarinpa-abuja-7PSFU
6NUUL,3 Bedroom Apartment,25000000.0,"₦ 25,000,000",3.0,4.0,House,"Ikumakpayi Street, Off Benin Akure Expressway, Iyowa Asaba Delta","Ikumakpayi Street, Off Benin Akure Expressway, Iyowa",Asaba,Delta,Baker Industries,Big Compound; Drainage System; 24 Hours Electricity,17 Nov 2025,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ikumakpayi-street-off-benin-akure-expressway-iyowa-asaba-delta-6NUUL
6NVYM,Newly Built 5 Bedroom Detached Duplex,600000000.0,"₦ 600,000,000",5.0,,House,Opebi Ikeja Lagos,Opebi,Ikeja,Lagos,Jerman Properties,Boys Quater,28 Nov 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-opebi-ikeja-lagos-6NVYM
2NLBT,6 Units Of 3 Bedroom Flat,320000000.0,"₦ 320,000,000",3.0,3.0,House,Ajao Estate Isolo Lagos,Ajao Estate,Isolo,Lagos,DORIWHALLY PROPERTIES,,25 Aug 2025,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajao-estate-isolo-lagos-2NLBT
