pid,title,price_ngn,price_raw,bedrooms,bathrooms,prop_type,location,area,lga,state,agent,features,date_added,url
7NTGS,Contemporary 5 Bedroom Fully Detached Duplex,600000000.0,"₦ 600,000,000",5.0,5.0,House,Chevron Lekki Lagos,Chevron,Lekki,Lagos,Perfect Images,,31 Oct 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-7NTGS
2NTLL,Newly Built 4 Bedroom Semi Detached Duplex,160000000.0,"₦ 160,000,000",4.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,03 Nov 2025,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-2NTLL
2NVGM,5 Bedroom Detached Duplex,1550000000.0,"₦ 1,550,000,000",5.0,5.0,House,Osapa London Lekki Lagos,Osapa London,Lekki,Lagos,Perfect Images,,21 Nov 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-2NVGM
5PCRQ,2 Bedroom Apartment,330000000.0,"₦ 330,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,Perfect Images,,09 Feb 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5PCRQ
8PPEJ,5 Bedroom Detached Duplex,420000000.0,"₦ 420,000,000",5.0,5.0,House,Orchid Lekki Lagos,Orchid,Lekki,Lagos,ITJ REALTOR,,13 May 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-8PPEJ
6PPEM,5 Bedroom Detached Duplex,650000000.0,"₦ 650,000,000",5.0,5.0,House,Orchid Lekki Lagos,Orchid,Lekki,Lagos,ITJ REALTOR,,13 May 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-6PPEM
8PPFZ,5 Bedroom Detached Duplex,750000000.0,"₦ 750,000,000",5.0,5.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,ITJ REALTOR,,13 May 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8PPFZ
4PPEH,4 Bedroom Detached Duplex,200000000.0,"₦ 200,000,000",4.0,4.0,House,Orchid Lekki Lagos,Orchid,Lekki,Lagos,ITJ REALTOR,,13 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-4PPEH
9PPGG,2 Bedroom Apartment,200000000.0,"₦ 200,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,ITJ REALTOR,,13 May 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-9PPGG
8PPFV,2 Bedroom Apartment,240000000.0,"₦ 240,000,000",2.0,2.0,Flat Apartment,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,ITJ REALTOR,,13 May 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-8PPFV
3PTNC,2bed,290000000.0,"₦ 290,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,19 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-3PTNC
8PCYY,Land Measuring 600sqm,110000000.0,"₦ 110,000,000",,,Land,S&t Phase11 Jericho Ibadan Oyo,S&t Phase11 Jericho,Ibadan,Oyo,Openkeys business,,12 Feb 2026,https://www.propertypro.ng/property/land-for-sale-st-phase11-jericho-ibadan-oyo-8PCYY
2PFEB,Land,100000000.0,"₦ 100,000,000",,,Land,Aare Oluyole Est Oluyole Estate Ibadan Oyo,Aare Oluyole Est Oluyole Estate,Ibadan,Oyo,Openkeys business,,02 Mar 2026,https://www.propertypro.ng/property/land-for-sale-aare-oluyole-est-oluyole-estate-ibadan-oyo-2PFEB
5PMVY,Newly Built 4 Bedroom Detached Duplex,250000000.0,"₦ 250,000,000",4.0,4.0,House,Ikota Ikota Lekki Lagos,Ikota Ikota,Lekki,Lagos,OUTSTANDING REAL,Big Compound; Boys Quater; Drainage System,01 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-ikota-lekki-lagos-5PMVY
6PLXF,Luxury 5 Bedroom Semi Detached Duplex,990000000.0,"₦ 990,000,000",5.0,5.0,House,Cawrie Creek Estate Ikate Lekki Lagos,Cawrie Creek Estate Ikate,Lekki,Lagos,OUTSTANDING REAL,,22 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-cawrie-creek-estate-ikate-lekki-lagos-6PLXF
0PPBF,Spacious 2 Bedroom Apartment,135000000.0,"₦ 135,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,OUTSTANDING REAL,,12 May 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0PPBF
8PSFW,Contemporary 5 Bedroom Fully Detached Duplex With Pool,410000000.0,"₦ 410,000,000",5.0,5.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,OUTSTANDING REAL,Big Compound; 24 Hours Security; Fast Internet,09 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-8PSFW
4PJGJ,2 Hectares Of Land,1200000000.0,"₦ 1,200,000,000",,,Land,Idera Scheme Eleko Junction Ibeju Lekki Lagos,Idera Scheme Eleko Junction Ibeju,Lekki,Lagos,DFHL,C Of O,30 Mar 2026,https://www.propertypro.ng/property/land-for-sale-idera-scheme-eleko-junction-ibeju-lekki-lagos-4PJGJ
4PGVB,Distress 5 Bedroom Semi Detached Duplex With Bq,390000000.0,"₦ 390,000,000",5.0,5.0,House,Wuye Abuja,Wuye,Abuja,Abuja,Ademeso olalekan,,16 Mar 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-wuye-abuja-4PGVB
4PULR,5bed,900000000.0,"₦ 900,000,000",5.0,5.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,27 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4PULR
1PPBK,1 Bedroom Apartment,230000000.0,"₦ 230,000,000",1.0,1.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,ITJ REALTOR,,12 May 2026,https://www.propertypro.ng/property/1-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-1PPBK
6PDNL,5 Bedroom Fully Detached Duplex With Bq,420000000.0,"₦ 420,000,000",5.0,,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Chrystal Abodes,24 Hours Security; Pop Ceiling; C Of O,17 Feb 2026,https://www.propertypro.ng/property/house-for-sale-ikota-lekki-lagos-6PDNL
0PHZC,A Functional Water Front Commercial Building,2500000000.0,"₦ 2,500,000,000",,,House,"Admiralty Away, Lekki Phase 1 Lekki Lagos","Admiralty Away, Lekki Phase 1",Lekki,Lagos,DFHL,,26 Mar 2026,https://www.propertypro.ng/property/house-for-sale-admiralty-away-lekki-phase-1-lekki-lagos-0PHZC
2NYBD,6 Units Of The Apartment On 1500sqm,1300000000.0,"₦ 1,300,000,000",,,House,Mai Jabi Jabi Abuja,Mai Jabi,Jabi,Abuja,Shedrack Luka,Big Compound; 24 Hours Security; Fast Internet,22 Dec 2025,https://www.propertypro.ng/property/house-for-sale-mai-jabi-jabi-abuja-2NYBD
3PRME,"Newly Built 5 Unit Of 3 Bedroom In Elebu , Ibadan",100000000.0,"₦ 100,000,000",3.0,3.0,House,Elebu Akala Express Ibadan Oyo,Elebu Akala Express,Ibadan,Oyo,Poly property,,02 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-elebu-akala-express-ibadan-oyo-3PRME
1PPAW,4 Bedroom Terrace Duplex + Bq,420000000.0,"₦ 420,000,000",4.0,4.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,ITJ REALTOR,,12 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-1PPAW
